title,authors,year,venue,entry_type,doi,url,source_files,dup_count,norm_title
A Traffic Flow Dependency and Dynamics based Deep Learning Aided Approach for Network-Wide Traffic Speed Propagation Prediction,Han-Yi Yang and Lili Du and Guohui Zhang and Tianwei Ma,2023,Transportation Research Part B: Methodological,article,,https://doi.org/10.1016/j.trb.2022.11.009,papers_9.bib,1,a traffic flow dependency and dynamics based deep learning aided approach for network wide traffic speed propagation prediction
A Train Factor Graph Fusion Localization Method Assisted by GRU-IBiLSTM for Low-Cost SINS/GNSS,Cheng Chen and Guangwu Chen and Xinye Ma,2026,"Sensors (Basel, Switzerland)",article,,https://pdfs.semanticscholar.org/6fd5/c8b045d8e0360e363bcf817db3bc3e151339.pdf,papers_13.bib,1,a train factor graph fusion localization method assisted by gru ibilstm for low cost sins gnss
A Tutorial on Graph-Based SLAM,G. Grisetti and C. Stachniss and Wolfram Burgard,2010,IEEE Intelligent Transportation Systems Magazine,article,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=\&arnumber=5681215,papers_13.bib+papers_4.bib,2,a tutorial on graph based slam
A Word Embedding Model for Fault Localization using Bug and Software Change Repositories,Aqib Rehman,2020,"Foundation University Journal of Engineering and Applied Sciences \&lt;br\&gt;\&lt;i style=""color:yellow;""\&gt;(HEC Recognized Y Category , ISSN 2706-7351)\&lt;/i\&gt;",article,,https://api.semanticscholar.org/CorpusId:261656754,papers_10.bib+papers_11.bib,2,a word embedding model for fault localization using bug and software change repositories
Accelerating Petri-Net simulations using NVIDIA Graphics Processing Units,P. Yianni and L. Neves and D. Rama and J. Andrews,2018,Eur. J. Oper. Res.,article,,https://api.semanticscholar.org/CorpusId:11104301,papers_15.bib,1,accelerating petri net simulations using nvidia graphics processing units
Acceleration of DNN Backward Propagation by Selective Computation of Gradients,Gunhee Lee and Hanmin Park and Namhyung Kim and Joonsang Yu and Sujeong Jo and Kiyoung Choi,2019,2019 56th ACM/IEEE Design Automation Conference (DAC),article,,http://dl.acm.org/citation.cfm?id=3317755,papers_15.bib,1,acceleration of dnn backward propagation by selective computation of gradients
Active Collaborative Visual SLAM Exploiting ORB Features,Muhammad Farhan Ahmed and Vincent Fr{\'e}mont and Isabelle Fantoni,2024,"2024 18th International Conference on Control, Automation, Robotics and Vision (ICARCV)",article,,https://api.semanticscholar.org/CorpusId:271050569,papers_4.bib,1,active collaborative visual slam exploiting orb features
Adaptive AI Spatiotemporal Modeling with Dependency Drift Awareness for Anomaly Detection in Large-Scale Clusters,Junjie Jiang and Chi-Hui Shao and Chong Zhang and Ning Lyu and Y. Ni,2025,2025 7th International Academic Exchange Conference on Science and Technology Innovation (IAECST),article,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=\&arnumber=11415020,papers_9.bib,1,adaptive ai spatiotemporal modeling with dependency drift awareness for anomaly detection in large scale clusters
Adaptive and Hybrid Algorithms: classification and illustration on triangular system solving ∗,V. Cung and Vincent Danjean and J. Dumas and T. Gautier and Guillaume Huard and B. Raffin and C. Rapine and J. Roch and D. Trystram,2006,unknown,inproceedings,,http://moais.imag.fr/membres/jean-louis.roch/perso\_html/papers/2006-tc-aha-adapt.pdf,papers_15.bib,1,adaptive and hybrid algorithms classification and illustration on triangular system solving
Adaptive Approach for Impact Analysis in Enterprise Architectures,Melanie Langermeier and Christian Saad and B. Bauer,2014,International Symposium on Business Modeling and Software Design,inproceedings,,https://doi.org/10.1007/978-3-319-20052-1\_2,papers_7.bib,1,adaptive approach for impact analysis in enterprise architectures
Adaptive Multi Scale Segmentation of Dermoscopic Lesions Using Selective Kernel Attention UNet,Preeti Kaur,2026,"2026 International Conference on Intelligent Systems in Engineering, Secured Systems and Cybersecurity (ICISESSC)",article,,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=\&arnumber=11542678,papers_15.bib,1,adaptive multi scale segmentation of dermoscopic lesions using selective kernel attention unet
Adaptive Recursive Neural Network for Target-dependent Twitter Sentiment Classification,Li Dong and Furu Wei and Chuanqi Tan and Duyu Tang and M. Zhou and Ke Xu,2014,Annual Meeting of the Association for Computational Linguistics,inproceedings,,https://api.semanticscholar.org/CorpusId:3158440,papers_9.bib,1,adaptive recursive neural network for target dependent twitter sentiment classification
Adaptive Text2GQL: Integrating Structural Twig Linking and Evolutionary In-Context Learning,Fang Niu and Chao-Kun Wang and Hang Zhang and Songyao Wang,2026,Annual Meeting of the Association for Computational Linguistics,inproceedings,,https://api.semanticscholar.org/CorpusId:289788173,papers_5.bib,1,adaptive text2gql integrating structural twig linking and evolutionary in context learning
Addressing the Regression Test Problem with Change Impact Analysis for Ada,Andrew V. Jones,2016,International Conference on Reliable Software Technologies,inproceedings,,https://api.semanticscholar.org/CorpusId:13890476,papers_12.bib+papers_7.bib+papers_8.bib,3,addressing the regression test problem with change impact analysis for ada
Advancing DialNav through Automatic Embodied Dialog Augmentation,Leekyeung Han and Sangwon Jung and Hyunji Min and Jinseong Jeong and Minyoung Kim and Paul Hongsuck Seo,2026,ArXiv,article,,https://api.semanticscholar.org/CorpusId:289625427,papers_4.bib,1,advancing dialnav through automatic embodied dialog augmentation
Advancing Trace Recovery Evaluation - Applied Information Retrieval in a Software Engineering Context,Markus Borg,2016,ArXiv,article,,https://api.semanticscholar.org/CorpusId:13892149,papers_12.bib,1,advancing trace recovery evaluation applied information retrieval in a software engineering context
Agentic Program Repair From Test Failures at Scale: A Neuro-Symbolic Approach With Static Analysis and Test Execution Feedback,C. Maddila and Adam Tait and Claire R. Chang and Daniel Cheng and N. Ahmad and V. Murali and Marshall Roch and Arnaud Avondet and A. Meltzer and V. Montalv{\~a}o and Michael Hopko and Chris Waterson and Parth Thakkar and Renuka Fernandez and K. Kristensen and Sivan Barzily and Sherry X. Chen and Rui Abreu and N. Nagappan and Payam Shodjai and Killian Murphy and J. Everingham and A. Ramani and Peter C. Rigby,2025,IEEE Transactions on Software Engineering,article,,https://api.semanticscholar.org/CorpusId:280046107,papers_14.bib+papers_6.bib,2,agentic program repair from test failures at scale a neuro symbolic approach with static analysis and test execution feedback
AgenticRepair: Multi-Faceted Program Context Engineering for Agentic Vulnerability Repair,Michael Fu and Qiyue Mei and Patanamon Thongtanunam and Kla Tantithamthavorn,2026,ArXiv,article,,https://api.semanticscholar.org/CorpusId:290783405,papers_14.bib+papers_6.bib,2,agenticrepair multi faceted program context engineering for agentic vulnerability repair
Agentless: Demystifying LLM-based Software Engineering Agents,Chun Xia and Yinlin Deng and S. Dunn and Lingming Zhang,2024,ArXiv,article,,https://api.semanticscholar.org/CorpusId:270870279,papers_14.bib+papers_6.bib,2,agentless demystifying llm based software engineering agents
Agnostic Selective Classification,Yair Wiener and Ran El-Yaniv,2011,Neural Information Processing Systems,inproceedings,,http://papers.nips.cc/paper/4339-agnostic-selective-classification,papers_16.bib,1,agnostic selective classification
Agreement-Based Cascading for Efficient Inference,Steven Kolawole and D. Dennis and Ameet Talwalkar and Virginia Smith,2024,Trans. Mach. Learn. Res.,article,,https://arxiv.org/pdf/2407.02348.pdf,papers_15.bib,1,agreement based cascading for efficient inference
An advanced method for assessing the significance of change in electric vehicles as a new tool for sustainability and operational reliability,Katarzyna Chruzik and Iwona Krzyżewska,2025,Archives of Transport,article,,https://api.semanticscholar.org/CorpusId:282860774,papers_8.bib,1,an advanced method for assessing the significance of change in electric vehicles as a new tool for sustainability and operational reliability
An Analysis of Test Data Selection Criteria Using the RELAY Model of Fault Detection,J. Debra and Thompson,1993,IEEE Trans. Software Eng.,article,,https://doi.org/10.1109/32.232020,papers_12.bib,1,an analysis of test data selection criteria using the relay model of fault detection
