action_f1,action_fnr,action_precision,action_recall,action_support,actual_changed_source_paths,agent_finalized_within_8,baseline_pass,changed_requirement_pass,configured_caps,duration_seconds,escalated_to_human_review,functional_validation_passed,functional_validation_reached,gold_preserve_source_paths,gold_regenerate_source_paths,impact_expansion_count,impact_plan_hash,impact_plan_parent_hash,impact_plan_version,impact_recall,impact_recall_full,migration_generation_passed,planner_completion_tokens,planner_latency_seconds,planner_model_calls,planner_prompt_tokens,planner_total_tokens,predicted_regenerate_source_paths,preservation_pass,prohibited_write_attempts,regenerated_artifact_count,regeneration_completion_tokens,regeneration_prompt_tokens,repair_attempts,repair_completion_tokens,repair_prompt_tokens,repetition,run_id,scenario_id,selected_artifact_count,selection_completion_tokens,selection_prompt_tokens,status,strategy_id,total_workflow_model_calls,total_workflow_tokens,truncated,unintended_preserve_changes
0.0,1.0,0.0,0.0,"{""human_review"": 0, ""preserve"": 5, ""regenerate"": 0, ""validate_only"": 0}","[""todo/models.py"", ""todo/views.py""]",False,False,False,"{""agent_control"": 1024, ""impact_plan"": 4096, ""patch"": 8192, ""repair_patch"": 8192}",157.09399999999914,False,False,False,"[""todo/permissions.py"", ""todo/serializers.py"", ""todo/urls.py""]","[""todo/models.py"", ""todo/views.py""]",0,,,,0.0,False,False,0,0.0,0,0,0,[],True,0,2,640,1903,1,172,2291,1,todo-smoke-002_iterative_repository_agent_rep1_c608e09e,todo-smoke-002,0,341,8938,failed,iterative_repository_agent,12,14285,False,[]
0.0,1.0,0.0,0.0,"{""human_review"": 0, ""preserve"": 5, ""regenerate"": 0, ""validate_only"": 0}",[],False,False,False,"{""agent_control"": 1024, ""impact_plan"": 4096, ""patch"": 8192, ""repair_patch"": 8192}",93.03099999999904,False,False,False,"[""todo/permissions.py"", ""todo/serializers.py"", ""todo/urls.py""]","[""todo/models.py"", ""todo/views.py""]",0,,,,0.0,False,False,0,0.0,0,0,0,[],True,0,0,544,1903,1,653,1903,2,todo-smoke-002_iterative_repository_agent_rep2_6f1678fe,todo-smoke-002,0,309,8611,failed,iterative_repository_agent,12,13923,False,[]
0.0,1.0,0.0,0.0,"{""human_review"": 0, ""preserve"": 5, ""regenerate"": 0, ""validate_only"": 0}","[""todo/models.py"", ""todo/views.py""]",False,False,False,"{""agent_control"": 1024, ""impact_plan"": 4096, ""patch"": 8192, ""repair_patch"": 8192}",45.79700000000048,False,False,False,"[""todo/permissions.py"", ""todo/serializers.py"", ""todo/urls.py""]","[""todo/models.py"", ""todo/views.py""]",0,,,,0.0,False,False,0,0.0,0,0,0,[],True,0,2,443,1903,1,172,2173,3,todo-smoke-002_iterative_repository_agent_rep3_3700cc24,todo-smoke-002,0,303,8656,failed,iterative_repository_agent,12,13650,False,[]
0.0,1.0,0.0,0.0,"{""human_review"": 0, ""preserve"": 5, ""regenerate"": 0, ""validate_only"": 0}",[],False,False,False,"{""agent_control"": 1024, ""impact_plan"": 4096, ""patch"": 8192, ""repair_patch"": 8192}",25.39099999999962,False,False,False,"[""todo/permissions.py"", ""todo/serializers.py"", ""todo/urls.py""]","[""todo/models.py"", ""todo/views.py""]",0,,,,0.0,False,False,0,0.0,0,0,0,[],True,0,0,748,1903,1,497,1903,4,todo-smoke-002_iterative_repository_agent_rep4_81a8f03d,todo-smoke-002,0,325,8368,failed,iterative_repository_agent,12,13744,False,[]
0.0,1.0,0.0,0.0,"{""human_review"": 0, ""preserve"": 5, ""regenerate"": 0, ""validate_only"": 0}","[""todo/models.py"", ""todo/views.py""]",False,False,False,"{""agent_control"": 1024, ""impact_plan"": 4096, ""patch"": 8192, ""repair_patch"": 8192}",44.29700000000048,False,False,False,"[""todo/permissions.py"", ""todo/serializers.py"", ""todo/urls.py""]","[""todo/models.py"", ""todo/views.py""]",0,,,,0.0,False,False,0,0.0,0,0,0,[],True,0,2,484,1903,1,460,2182,5,todo-smoke-002_iterative_repository_agent_rep5_61e674ac,todo-smoke-002,0,299,8872,failed,iterative_repository_agent,12,14200,False,[]
1.0,0.0,1.0,1.0,"{""human_review"": 0, ""preserve"": 2, ""regenerate"": 2, ""validate_only"": 1}","[""todo/models.py"", ""todo/views.py""]",True,True,False,"{""agent_control"": 1024, ""impact_plan"": 4096, ""patch"": 8192, ""repair_patch"": 8192}",54.0,True,False,True,"[""todo/permissions.py"", ""todo/serializers.py"", ""todo/urls.py""]","[""todo/models.py"", ""todo/views.py""]",1,34d444a09af1db1ec32f7881a30781db8c8179e1ae23e37c0e153ce95c11e26c,da6a20050117d509ed9cb4f9b1ece5efa370ba260cb05577b17945ed893d8250,v2,1.0,True,True,2168,21,2,2604,4772,"[""todo/models.py"", ""todo/views.py""]",True,0,2,606,1903,1,736,2317,1,todo-smoke-002_impact_plan_rep1_81420272,todo-smoke-002,2,3337,3868,failed,impact_plan,7,12767,False,[]
1.0,0.0,1.0,1.0,"{""human_review"": 0, ""preserve"": 2, ""regenerate"": 2, ""validate_only"": 1}","[""todo/models.py"", ""todo/views.py""]",True,True,False,"{""agent_control"": 1024, ""impact_plan"": 4096, ""patch"": 8192, ""repair_patch"": 8192}",52.32799999999952,True,False,True,"[""todo/permissions.py"", ""todo/serializers.py"", ""todo/urls.py""]","[""todo/models.py"", ""todo/views.py""]",1,74e98881f044c235c98fcbdc7a94964f2d6e39573e0ae4fc740960038f64ea44,6b2825e79eeaa59a6a2b70a20d8fc37c6020801ca7968717039fc1aee6baae00,v2,1.0,True,True,2320,22,2,2612,4932,"[""todo/models.py"", ""todo/views.py""]",True,0,2,489,1903,1,172,2160,2,todo-smoke-002_impact_plan_rep2_abaf4b98,todo-smoke-002,2,3513,3876,failed,impact_plan,7,12113,False,[]
1.0,0.0,1.0,1.0,"{""human_review"": 0, ""preserve"": 2, ""regenerate"": 2, ""validate_only"": 1}","[""todo/models.py"", ""todo/views.py""]",True,True,False,"{""agent_control"": 1024, ""impact_plan"": 4096, ""patch"": 8192, ""repair_patch"": 8192}",102.01500000000124,True,False,True,"[""todo/permissions.py"", ""todo/serializers.py"", ""todo/urls.py""]","[""todo/models.py"", ""todo/views.py""]",1,ebcb6c017a3c6f6a4d126dd8fbabde1c53150acb00580be423b1162da28755cd,54391934cd0c0d9e512beb9e7690b4f29e3ded02e8ae15d075e9d1df33503259,v2,1.0,True,True,2292,28,2,2604,4896,"[""todo/models.py"", ""todo/views.py""]",True,0,2,442,1903,1,176,2172,3,todo-smoke-002_impact_plan_rep3_38ed2661,todo-smoke-002,2,3332,3868,failed,impact_plan,7,11893,False,[]
1.0,0.0,1.0,1.0,"{""human_review"": 0, ""preserve"": 2, ""regenerate"": 2, ""validate_only"": 1}","[""todo/models.py"", ""todo/views.py""]",True,True,False,"{""agent_control"": 1024, ""impact_plan"": 4096, ""patch"": 8192, ""repair_patch"": 8192}",196.98400000000038,True,False,True,"[""todo/permissions.py"", ""todo/serializers.py"", ""todo/urls.py""]","[""todo/models.py"", ""todo/views.py""]",1,ff59ea6b32787c057aee00cfd966c808b4cd6d945d965c908caf417718f5d400,47e5e5ffe0b5aa8c7fea2910f678b7dabaea84f959621f6455a87dcb1c130e26,v2,1.0,True,True,2237,68,2,2604,4841,"[""todo/models.py"", ""todo/views.py""]",True,0,2,456,1903,1,107,2155,4,todo-smoke-002_impact_plan_rep4_2bd119f8,todo-smoke-002,2,3228,3868,failed,impact_plan,7,11717,False,[]
0.0,1.0,0.0,0.0,"{""human_review"": 0, ""preserve"": 0, ""regenerate"": 0, ""validate_only"": 0}",[],True,False,False,"{""agent_control"": 1024, ""impact_plan"": 4096, ""patch"": 8192, ""repair_patch"": 8192}",37.45300000000134,False,False,False,"[""todo/permissions.py"", ""todo/serializers.py"", ""todo/urls.py""]","[""todo/models.py"", ""todo/views.py""]",0,,,,0.0,False,False,0,0.0,0,0,0,[],True,0,0,0,0,0,0,0,5,todo-smoke-002_impact_plan_rep5_7d4747ea,todo-smoke-002,0,0,0,failed,impact_plan,0,0,False,[]
0.0,1.0,0.0,0.0,"{""human_review"": 0, ""preserve"": 5, ""regenerate"": 0, ""validate_only"": 0}","[""todo/models.py"", ""todo/permissions.py"", ""todo/serializers.py"", ""todo/views.py""]",False,False,False,"{""agent_control"": 1024, ""impact_plan"": 4096, ""patch"": 8192, ""repair_patch"": 8192}",64.35900000000038,False,False,False,"[""todo/urls.py""]","[""todo/models.py"", ""todo/permissions.py"", ""todo/serializers.py"", ""todo/views.py""]",0,,,,0.0,False,False,0,0.0,0,0,0,[],True,0,0,440,3917,1,357,4178,1,todo-smoke-003_iterative_repository_agent_rep1_9aed4cbd,todo-smoke-003,0,316,9433,failed,iterative_repository_agent,16,18641,False,[]
0.0,1.0,0.0,0.0,"{""human_review"": 0, ""preserve"": 5, ""regenerate"": 0, ""validate_only"": 0}","[""todo/models.py"", ""todo/permissions.py"", ""todo/serializers.py"", ""todo/views.py""]",False,False,False,"{""agent_control"": 1024, ""impact_plan"": 4096, ""patch"": 8192, ""repair_patch"": 8192}",39.39000000000124,False,False,False,"[""todo/urls.py""]","[""todo/models.py"", ""todo/permissions.py"", ""todo/serializers.py"", ""todo/views.py""]",0,,,,0.0,False,False,0,0.0,0,0,0,[],True,0,0,565,3917,1,625,4258,2,todo-smoke-003_iterative_repository_agent_rep2_a98d1b90,todo-smoke-003,0,403,9636,failed,iterative_repository_agent,16,19404,False,[]
0.0,1.0,0.0,0.0,"{""human_review"": 0, ""preserve"": 5, ""regenerate"": 0, ""validate_only"": 0}","[""todo/models.py"", ""todo/permissions.py"", ""todo/serializers.py"", ""todo/views.py""]",False,False,False,"{""agent_control"": 1024, ""impact_plan"": 4096, ""patch"": 8192, ""repair_patch"": 8192}",61.61000000000058,False,False,False,"[""todo/urls.py""]","[""todo/models.py"", ""todo/permissions.py"", ""todo/serializers.py"", ""todo/views.py""]",0,,,,0.0,False,False,0,0.0,0,0,0,[],True,0,4,440,3917,1,415,3917,3,todo-smoke-003_iterative_repository_agent_rep3_367e52eb,todo-smoke-003,0,432,9943,failed,iterative_repository_agent,16,19064,False,[]
0.0,1.0,0.0,0.0,"{""human_review"": 0, ""preserve"": 5, ""regenerate"": 0, ""validate_only"": 0}","[""todo/models.py"", ""todo/permissions.py"", ""todo/serializers.py"", ""todo/views.py""]",False,False,False,"{""agent_control"": 1024, ""impact_plan"": 4096, ""patch"": 8192, ""repair_patch"": 8192}",95.125,False,False,False,"[""todo/urls.py""]","[""todo/models.py"", ""todo/permissions.py"", ""todo/serializers.py"", ""todo/views.py""]",0,,,,0.0,False,False,0,0.0,0,0,0,[],True,0,0,550,3917,1,478,4218,4,todo-smoke-003_iterative_repository_agent_rep4_94912c4b,todo-smoke-003,0,354,9221,failed,iterative_repository_agent,16,18738,False,[]
0.0,1.0,0.0,0.0,"{""human_review"": 0, ""preserve"": 5, ""regenerate"": 0, ""validate_only"": 0}",[],False,False,False,"{""agent_control"": 1024, ""impact_plan"": 4096, ""patch"": 8192, ""repair_patch"": 8192}",298.1090000000004,False,False,False,"[""todo/urls.py""]","[""todo/models.py"", ""todo/permissions.py"", ""todo/serializers.py"", ""todo/views.py""]",0,,,,0.0,False,False,0,0.0,0,0,0,[],True,0,0,421,3917,1,572,3917,5,todo-smoke-003_iterative_repository_agent_rep5_da2b3a63,todo-smoke-003,0,464,9936,failed,iterative_repository_agent,16,19227,False,[]
1.0,0.0,1.0,1.0,"{""human_review"": 0, ""preserve"": 1, ""regenerate"": 4, ""validate_only"": 0}","[""todo/models.py"", ""todo/permissions.py"", ""todo/serializers.py"", ""todo/views.py""]",True,False,False,"{""agent_control"": 1024, ""impact_plan"": 4096, ""patch"": 8192, ""repair_patch"": 8192}",43.75,True,False,False,"[""todo/urls.py""]","[""todo/models.py"", ""todo/permissions.py"", ""todo/serializers.py"", ""todo/views.py""]",1,0f49c6bf78ced380a9623a5ccba7c788b06c526dfef35710a334ed24ce6cde2c,7a78cea76b235dff72d78427d49cc715c3e7fc3bfcca72b7aa982dd414b87443,v2,1.0,True,False,2241,23,2,2689,4930,"[""todo/models.py"", ""todo/permissions.py"", ""todo/serializers.py"", ""todo/views.py""]",True,0,0,618,3917,1,435,3917,1,todo-smoke-003_impact_plan_rep1_778932d2,todo-smoke-003,4,3304,4030,failed,impact_plan,11,16221,False,[]
1.0,0.0,1.0,1.0,"{""human_review"": 0, ""preserve"": 1, ""regenerate"": 4, ""validate_only"": 0}",[],True,False,False,"{""agent_control"": 1024, ""impact_plan"": 4096, ""patch"": 8192, ""repair_patch"": 8192}",91.45300000000134,True,False,False,"[""todo/urls.py""]","[""todo/models.py"", ""todo/permissions.py"", ""todo/serializers.py"", ""todo/views.py""]",1,3e7c12cfb0be1ae8df89afc3a7520119c32f461e4ef34e2c11855546a07484d6,c777e9e0393117acf73efaf69a8f9336e147e09ee1ae8d486037b20a4b099aa6,v2,1.0,True,False,2077,64,2,2689,4766,"[""todo/models.py"", ""todo/permissions.py"", ""todo/serializers.py"", ""todo/views.py""]",True,0,0,554,3917,1,461,3917,2,todo-smoke-003_impact_plan_rep2_4d506ba1,todo-smoke-003,4,3096,4030,failed,impact_plan,11,15975,False,[]
1.0,0.0,1.0,1.0,"{""human_review"": 0, ""preserve"": 1, ""regenerate"": 4, ""validate_only"": 0}","[""todo/models.py"", ""todo/permissions.py"", ""todo/serializers.py"", ""todo/views.py""]",True,False,False,"{""agent_control"": 1024, ""impact_plan"": 4096, ""patch"": 8192, ""repair_patch"": 8192}",35.65699999999924,True,False,False,"[""todo/urls.py""]","[""todo/models.py"", ""todo/permissions.py"", ""todo/serializers.py"", ""todo/views.py""]",1,c142db764029232ef855224ad6c27888ad569731ca0f80c63ad5ba41b32626b7,6f0d9f8ad25e6d307f10a57739037a9de804cf4920240c3c2894544cad7134d5,v2,1.0,True,False,1802,19,2,2689,4491,"[""todo/models.py"", ""todo/permissions.py"", ""todo/serializers.py"", ""todo/views.py""]",True,0,0,520,3917,1,527,3917,3,todo-smoke-003_impact_plan_rep3_805d53a3,todo-smoke-003,4,2702,4030,failed,impact_plan,11,15613,False,[]
1.0,0.0,1.0,1.0,"{""human_review"": 0, ""preserve"": 1, ""regenerate"": 4, ""validate_only"": 0}","[""todo/models.py"", ""todo/permissions.py"", ""todo/serializers.py"", ""todo/views.py""]",True,False,False,"{""agent_control"": 1024, ""impact_plan"": 4096, ""patch"": 8192, ""repair_patch"": 8192}",40.125,True,False,False,"[""todo/urls.py""]","[""todo/models.py"", ""todo/permissions.py"", ""todo/serializers.py"", ""todo/views.py""]",1,7607e09ddbe5222125a9f7ef185f2221e46a89576aadae50688dfc8a45b4b3b3,6e7689e9d5388ebcd6e2bf9dceda43758b1d8a332ee4823607d4d8d3cd1b1cc8,v2,1.0,True,False,2025,20,2,2689,4714,"[""todo/models.py"", ""todo/permissions.py"", ""todo/serializers.py"", ""todo/views.py""]",True,0,0,524,3917,1,542,3917,4,todo-smoke-003_impact_plan_rep4_831a34c6,todo-smoke-003,4,3161,4030,failed,impact_plan,11,16091,False,[]
1.0,0.0,1.0,1.0,"{""human_review"": 0, ""preserve"": 1, ""regenerate"": 4, ""validate_only"": 0}","[""todo/models.py"", ""todo/permissions.py"", ""todo/serializers.py"", ""todo/views.py""]",True,False,False,"{""agent_control"": 1024, ""impact_plan"": 4096, ""patch"": 8192, ""repair_patch"": 8192}",44.6869999999999,True,False,False,"[""todo/urls.py""]","[""todo/models.py"", ""todo/permissions.py"", ""todo/serializers.py"", ""todo/views.py""]",1,70abbb0b926805410bd3265290fef92647636784ba37bc6a73968578c17bafcb,0d296a3a4d3800df884bd9dff1c2337cb772a2bd0709979606daa1c59c2e14e3,v2,1.0,True,False,2003,24,2,2732,4735,"[""todo/models.py"", ""todo/permissions.py"", ""todo/serializers.py"", ""todo/views.py""]",True,0,4,583,3917,1,559,4244,5,todo-smoke-003_impact_plan_rep5_36e3f3e8,todo-smoke-003,4,2955,4073,failed,impact_plan,11,16331,False,[]
