run_id,scenario_id,strategy,strategy_id,repetition,status,failure_classification,changed_requirement_pass,baseline_pass,migration_generation_passed,impact_recall,impact_recall_full,gold_regenerate_source_paths,predicted_regenerate_source_paths,actual_changed_source_paths,unintended_preserve_changes,preservation_pass,selected_artifact_count,regenerated_artifact_count,total_workflow_model_calls,total_workflow_tokens,duration_seconds,repair_attempts,impact_expansion_count,escalated_to_human_review,unresolved_human_review_count,prohibited_write_attempts,gold_regenerate_count,gold_preserve_count,tp,fn,fp,tn,recall,fnr,precision,f1,action_accuracy,selection_prompt_tokens,selection_completion_tokens,regeneration_prompt_tokens,regeneration_completion_tokens,repair_prompt_tokens,repair_completion_tokens,planner_prompt_tokens,planner_completion_tokens,planner_model_calls,planner_latency_seconds
todo-smoke-002_impact_plan_rep1_90d001e8,todo-smoke-002,Selective,impact_plan,1,failed,model_output,False,False,False,1.0,True,todo/models.py;todo/views.py,todo/models.py;todo/views.py,,,True,2,0,11,18087,79.72,3,0,False,0,0,2,3,2,0,0,2,1.0,0.0,1.0,1.0,0.8,3799,3048,2050,581,6766,1843,0,0,0,0.0
todo-smoke-002_impact_plan_rep2_60109d12,todo-smoke-002,Selective,impact_plan,2,failed,model_output,False,False,False,1.0,True,todo/models.py;todo/views.py,todo/models.py;todo/views.py,,,True,2,0,11,23104,128.28,3,0,False,0,0,2,3,2,0,0,2,1.0,0.0,1.0,1.0,0.8,3799,3186,2050,1089,6766,6214,0,0,0,0.0
todo-smoke-002_impact_plan_rep3_bdd3d7ec,todo-smoke-002,Selective,impact_plan,3,failed,model_output,False,False,False,1.0,True,todo/models.py;todo/views.py,todo/models.py;todo/views.py,,,True,2,0,11,26839,151.38,3,0,False,0,0,2,3,2,0,0,2,1.0,0.0,1.0,1.0,0.8,3799,2928,2050,954,6834,10274,0,0,0,0.0
todo-smoke-002_impact_plan_rep4_b70e1794,todo-smoke-002,Selective,impact_plan,4,failed,model_output,False,False,False,1.0,True,todo/models.py;todo/views.py,todo/models.py;todo/views.py,,,True,2,0,11,23590,223.53,3,0,False,0,0,2,3,2,0,0,2,1.0,0.0,1.0,1.0,0.8,3799,3414,2050,1090,6766,6471,0,0,0,0.0
todo-smoke-002_impact_plan_rep5_87eac3c9,todo-smoke-002,Selective,impact_plan,5,failed,model_output,False,False,False,1.0,True,todo/models.py;todo/views.py,todo/models.py;todo/views.py,,,True,2,0,11,34496,645.73,3,0,False,0,0,2,3,2,0,0,2,1.0,0.0,1.0,1.0,0.8,3799,3561,2050,4518,6818,13750,0,0,0,0.0
todo-smoke-002_iterative_repository_agent_rep1_758a3c15,todo-smoke-002,Agent,iterative_repository_agent,1,failed,model_output,False,False,False,0.0,False,todo/models.py;todo/views.py,,,,True,0,0,10,15353,49.56,0,0,False,0,0,2,3,0,2,0,3,0.0,1.0,0.0,0.0,0.6,8518,245,2050,4540,0,0,0,0,0,0.0
todo-smoke-002_iterative_repository_agent_rep2_c9aadf2d,todo-smoke-002,Agent,iterative_repository_agent,2,failed,model_output,False,False,False,0.0,False,todo/models.py;todo/views.py,,,,True,0,0,8,9117,8.33,0,0,False,0,0,2,3,0,2,0,3,0.0,1.0,0.0,0.0,0.6,8956,161,0,0,0,0,0,0,0,0.0
todo-smoke-002_iterative_repository_agent_rep3_709ab9ab,todo-smoke-002,Agent,iterative_repository_agent,3,failed,model_output,False,False,False,0.0,False,todo/models.py;todo/views.py,,,,True,0,0,8,9112,9.7,0,0,False,0,0,2,3,0,2,0,3,0.0,1.0,0.0,0.0,0.6,8956,156,0,0,0,0,0,0,0,0.0
todo-smoke-002_iterative_repository_agent_rep4_1a105cd1,todo-smoke-002,Agent,iterative_repository_agent,4,failed,model_output,False,False,False,0.0,False,todo/models.py;todo/views.py,,,,True,0,0,8,9116,9.41,0,0,False,0,0,2,3,0,2,0,3,0.0,1.0,0.0,0.0,0.6,8956,160,0,0,0,0,0,0,0,0.0
todo-smoke-002_iterative_repository_agent_rep5_900db234,todo-smoke-002,Agent,iterative_repository_agent,5,failed,model_output,False,False,False,0.0,False,todo/models.py;todo/views.py,,,,True,0,0,8,9111,8.86,0,0,False,0,0,2,3,0,2,0,3,0.0,1.0,0.0,0.0,0.6,8956,155,0,0,0,0,0,0,0,0.0
todo-smoke-003_impact_plan_rep1_f34bff23,todo-smoke-003,Selective,impact_plan,1,failed,model_output,False,False,False,1.0,True,todo/models.py;todo/permissions.py;todo/serializers.py;todo/views.py,todo/models.py;todo/permissions.py;todo/serializers.py;todo/views.py,,,True,4,0,18,30611,582.49,3,0,False,0,0,4,1,4,0,0,1,1.0,0.0,1.0,1.0,1.0,4030,2835,4195,4735,12683,2133,0,0,0,0.0
todo-smoke-003_impact_plan_rep2_7a263d29,todo-smoke-003,Selective,impact_plan,2,failed,model_output,False,False,False,1.0,True,todo/models.py;todo/permissions.py;todo/serializers.py;todo/views.py,todo/models.py;todo/permissions.py;todo/serializers.py;todo/views.py,,,True,4,0,14,21408,130.73,2,0,False,0,0,4,1,4,0,0,1,1.0,0.0,1.0,1.0,1.0,4030,3060,4195,884,7868,1371,0,0,0,0.0
todo-smoke-003_impact_plan_rep3_c83646b2,todo-smoke-003,Selective,impact_plan,3,failed,model_output,False,False,False,1.0,True,todo/models.py;todo/permissions.py;todo/serializers.py;todo/views.py,todo/models.py;todo/permissions.py;todo/serializers.py;todo/views.py,,,True,4,0,14,21251,66.77,2,0,False,0,0,4,1,4,0,0,1,1.0,0.0,1.0,1.0,1.0,4030,3009,4195,792,7832,1393,0,0,0,0.0
todo-smoke-003_impact_plan_rep4_c18d6bb9,todo-smoke-003,Selective,impact_plan,4,failed,model_output,False,False,False,1.0,True,todo/models.py;todo/permissions.py;todo/serializers.py;todo/views.py,todo/models.py;todo/permissions.py;todo/serializers.py;todo/views.py,,,True,4,0,14,25723,195.11,2,0,False,0,0,4,1,4,0,0,1,1.0,0.0,1.0,1.0,1.0,4030,3602,4195,4645,7832,1419,0,0,0,0.0
todo-smoke-003_impact_plan_rep5_3e86192e,todo-smoke-003,Selective,impact_plan,5,failed,model_output,False,False,False,1.0,True,todo/models.py;todo/permissions.py;todo/serializers.py;todo/views.py,todo/models.py;todo/permissions.py;todo/serializers.py;todo/views.py,,,True,4,0,19,48288,737.08,3,0,False,0,0,4,1,4,0,0,1,1.0,0.0,1.0,1.0,1.0,4030,3181,4195,4640,13981,18261,0,0,0,0.0
todo-smoke-003_iterative_repository_agent_rep1_4e856aa5,todo-smoke-003,Agent,iterative_repository_agent,1,failed,model_output,False,False,False,0.0,False,todo/models.py;todo/permissions.py;todo/serializers.py;todo/views.py,,,,True,0,0,12,15301,31.64,0,0,False,0,0,4,1,0,4,0,1,0.0,1.0,0.0,0.0,0.2,9967,246,4195,893,0,0,0,0,0,0.0
todo-smoke-003_iterative_repository_agent_rep2_aa952cae,todo-smoke-003,Agent,iterative_repository_agent,2,failed,model_output,False,False,False,0.0,False,todo/models.py;todo/permissions.py;todo/serializers.py;todo/views.py,,,,True,0,0,8,10210,10.99,0,0,False,0,0,4,1,0,4,0,1,0.0,1.0,0.0,0.0,0.2,10000,210,0,0,0,0,0,0,0,0.0
todo-smoke-003_iterative_repository_agent_rep3_a15c29b9,todo-smoke-003,Agent,iterative_repository_agent,3,failed,model_output,False,False,False,0.0,False,todo/models.py;todo/permissions.py;todo/serializers.py;todo/views.py,,,,True,0,0,8,10258,10.86,0,0,False,0,0,4,1,0,4,0,1,0.0,1.0,0.0,0.0,0.2,10000,258,0,0,0,0,0,0,0,0.0
todo-smoke-003_iterative_repository_agent_rep4_6f5cf21f,todo-smoke-003,Agent,iterative_repository_agent,4,failed,model_output,False,False,False,0.0,False,todo/models.py;todo/permissions.py;todo/serializers.py;todo/views.py,,,,True,0,0,8,10258,10.3,0,0,False,0,0,4,1,0,4,0,1,0.0,1.0,0.0,0.0,0.2,10000,258,0,0,0,0,0,0,0,0.0
todo-smoke-003_iterative_repository_agent_rep5_2302cc62,todo-smoke-003,Agent,iterative_repository_agent,5,failed,model_output,False,False,False,0.0,False,todo/models.py;todo/permissions.py;todo/serializers.py;todo/views.py,,,,True,0,0,8,10096,10.22,0,0,False,0,0,4,1,0,4,0,1,0.0,1.0,0.0,0.0,0.2,9948,148,0,0,0,0,0,0,0,0.0
