task_id,status,parent_commit,target_commit,parent_available,target_available,n_changed,n_production,n_test,n_test_added,n_test_modified,n_test_deleted,n_migration,n_config_or_infra,f2p_candidacy,test_command
saleor-rc-07c8859c0ac3,OK,b8f2389a0dcd891f20034001cf4b81f48d3ad786,07c8859c0ac3031174d6946371341c93175d176a,True,True,3,2,1,0,1,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/shop/tests/mutations/test_shop_settings_update.py
saleor-rc-07f02e2c40ae,OK,77e8e3d61a39982e813e1b757badb3d444f6dd20,07f02e2c40ae9357db33f6e24068ccd3095eace4,True,True,23,12,9,0,9,0,2,0,MODIFIED_TEST_CANDIDATE,pytest saleor/checkout/tests/test_calculations.py; pytest saleor/graphql/tax/tests/fragments.py; pytest saleor/graphql/tax/tests/mutations/test_tax_configuration_update.py; pytest saleor/graphql/tax/tests/queries/test_tax_configuration.py; pytest saleor/order/tests/benchmark/test_fetch_order_prices.py; pytest saleor/order/tests/test_calculations.py; pytest saleor/tax/tests/test_checkout_calculations.py; pytest saleor/tax/tests/test_order_calculations.py; pytest saleor/tax/tests/test_utils.py
saleor-rc-094b1ec0f610,OK,f2f142aa3db27e35ef88418cf79bff854847925e,094b1ec0f61011d423c04a736976f3286037d5a1,True,True,22,12,7,0,7,0,3,0,MODIFIED_TEST_CANDIDATE,pytest saleor/checkout/tests/test_order_from_checkout.py; pytest saleor/graphql/checkout/tests/test_checkout_complete.py; pytest saleor/graphql/order/tests/test_order.py; pytest saleor/graphql/payment/tests/mutations/test_transaction_create.py; pytest saleor/graphql/payment/tests/mutations/test_transaction_update.py; pytest saleor/order/tests/test_order.py; pytest saleor/payment/tests/test_payment.py
saleor-rc-0ad61b3f0096,OK,4143432458dfe30420c025f71b492611c22b14da,0ad61b3f0096a50a0ec8e80b2c1905b06e11aa7d,True,True,7,2,5,0,5,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/app/tests/test_installation_utils.py; pytest saleor/app/tests/test_validators.py; pytest saleor/graphql/app/tests/benchmarks/test_app_extensions.py; pytest saleor/graphql/app/tests/queries/test_app_extension.py; pytest saleor/graphql/app/tests/queries/test_app_extensions.py
saleor-rc-0b46c89dfd9e,OK,c27cc94d06ff246bbef2b51968853d4336cc15ad,0b46c89dfd9e5e22defb45cbd9869403a7817320,True,True,9,5,4,0,4,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/product/tests/benchmark/test_variant_stocks.py; pytest saleor/graphql/product/tests/test_bulk_delete.py; pytest saleor/graphql/product/tests/test_variant.py; pytest saleor/graphql/product/tests/test_variant_channel_listing_update.py
saleor-rc-0c1062eb0da6,OK,92b559b9f451758b1b8ab0d3ff344aa013c129c5,0c1062eb0da691a67f6edb7babacea694d666830,True,True,4,3,1,0,1,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/webhook/tests/test_webhook_validators.py
saleor-rc-0df62b3144b0,OK,e1b52de9f506aef41ce6142ecc8b5a90254c0f7c,0df62b3144b0ef536b8ecc96aaa2a51f3b8ee175,True,True,12,7,5,0,5,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/plugins/webhook/tests/test_observability.py; pytest saleor/webhook/observability/tests/conftest.py; pytest saleor/webhook/observability/tests/test_buffer.py; pytest saleor/webhook/observability/tests/test_payloads.py; pytest saleor/webhook/observability/tests/test_utils.py
saleor-rc-0e895847d8ae,OK,4046e3c1f00ab14bf209da9f35c0576751448796,0e895847d8aee6399aedb00420cf602a31eb9094,True,True,2,1,1,0,1,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/core/telemetry/tests/test_utils.py
saleor-rc-0f16ed78b02b,OK,f7a1563b85bc826e76513560d5223e04aafe3e86,0f16ed78b02b579fb2ba90e5647319a9c5a3f9da,True,True,4,2,2,0,2,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/order/tests/mutations/test_fulfillment_cancel.py; pytest saleor/order/tests/test_order_actions.py
saleor-rc-0fd3a4d986a0,OK,b7b4c69d292004430ff4b9ca7ec01ab49510778d,0fd3a4d986a00ebe182729316b70c87601ffc972,True,True,5,3,2,0,2,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/account/tests/test_notifications.py; pytest saleor/plugins/user_email/tests/test_tasks.py
saleor-rc-1075496c64dd,OK,a76e77e495a0baa424eba9215635c3f44dad3f0d,1075496c64dd024d3a8d7e128ebb3269ae5e0b30,True,True,4,1,0,0,0,0,3,0,NO_CHANGED_TEST_EVIDENCE,
saleor-rc-10889526d151,OK,2e78fb5bcf8b83a6278af02551a104cfa555a1fb,10889526d151d0817d6ca41fdf876e95921a255d,True,True,2,1,1,0,1,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/invoice/tests/test_send_invoice_notification.py
saleor-rc-11756ee6b65a,OK,85081e46f19a4241d1accec29457320ea1f8d6a2,11756ee6b65a255869f551e838edec1742b1c2ce,True,True,3,1,2,0,2,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/webhook/tests/subscription_webhooks/subscription_queries.py; pytest saleor/webhook/tests/subscription_webhooks/test_create_deliveries_for_subscription.py
saleor-rc-12007c00e480,OK,d57ac9dcdbf9e04ef04f54fef67aacbc3be38686,12007c00e480f15c7823d5c10f1c29b5535ad34b,True,True,10,6,3,0,3,0,1,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/shipping/tests/benchmark/test_shipping_methods.py; pytest saleor/graphql/shipping/tests/test_shipping_method.py; pytest saleor/shipping/tests/test_shipping.py
saleor-rc-12b7ff7a4d0f,OK,caf71284bccc9f614401c30d33fb1a55a728dfae,12b7ff7a4d0f81468ec39c5f5de7bf0d26128dcf,True,True,1,1,0,0,0,0,0,0,NO_CHANGED_TEST_EVIDENCE,
saleor-rc-138ee68c3818,OK,8d02d27fa913c0d2453408d22d16e6f255ebb60c,138ee68c3818affda0de12010f561fbf4d2caf9e,True,True,2,1,1,0,1,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/invoice/tests/test_invoice_request.py
saleor-rc-149c7422d0ec,OK,ee249610d475c45a4bfe91fd43ca9380aecca134,149c7422d0ec6c48317a7ee5998dbddb0375738c,True,True,1,1,0,0,0,0,0,0,NO_CHANGED_TEST_EVIDENCE,
saleor-rc-14a682044ca4,OK,7a95ee2c6ce251102d269cbcda5739f2705f5f04,14a682044ca49af5406781e8b921fce6fe4f3d85,True,True,32,12,15,0,15,0,5,0,MODIFIED_TEST_CANDIDATE,pytest saleor/checkout/tests/test_checkout_complete.py; pytest saleor/checkout/tests/test_order_from_checkout.py; pytest saleor/graphql/checkout/tests/mutations/test_checkout_complete_with_payment.py; pytest saleor/graphql/checkout/tests/mutations/test_checkout_complete_with_transactions.py; pytest saleor/graphql/order/tests/deprecated/test_order.py; pytest saleor/graphql/order/tests/mutations/test_draft_order_create.py; pytest saleor/graphql/order/tests/mutations/test_draft_order_update.py; pytest saleor/graphql/order/tests/queries/test_order.py; pytest saleor/order/tests/test_apply_order_discount.py; pytest saleor/order/tests/test_calculations.py; pytest saleor/order/tests/test_fetch_order_prices.py; pytest saleor/plugins/avatax/tests/test_avatax.py; pytest saleor/plugins/webhook/tests/subscription_webhooks/test_create_deliveries_for_taxes.py; pytest saleor/tax/tests/test_order_calculations.py; pytest saleor/tests/fixtures.py
saleor-rc-14f2176b5d8c,OK,8cbaad3e697a8824fa7cf0671dc88bdaa415c245,14f2176b5d8c7da0b20bec1806d7f274b23baf2c,True,True,5,4,1,0,1,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/product/tests/test_category_filtering.py
saleor-rc-17c8d807b3d1,OK,be06b9b569b0550a6aeb68e8137230d5d687fe58,17c8d807b3d1e1fb2edcff22a63181af94033526,True,True,4,1,3,0,3,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/attribute/tests/mutations/test_attribute_create.py; pytest saleor/graphql/attribute/tests/mutations/test_attribute_update.py; pytest saleor/graphql/product/tests/queries/test_product_query.py
saleor-rc-18430f2a7a16,OK,dd633884b53c940415c0273c558cd7c9aee46771,18430f2a7a16e3ba35c8230e35f81cac1b92a386,True,True,3,1,2,0,2,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/payment/gateways/stripe/tests/conftest.py; pytest saleor/payment/gateways/stripe/tests/test_plugin.py
saleor-rc-18e25b92e0bd,OK,e3c5deb23ba198e0f2a123039bc0f9965f6bb152,18e25b92e0bdda4cbd27f0a50fea3e593daea8fe,True,True,4,4,0,0,0,0,0,0,NO_CHANGED_TEST_EVIDENCE,
saleor-rc-19bb9b070965,OK,c04fd3dab1c35892748328fce34723659f3bc707,19bb9b0709654010d1b4e4e9049af119d3b28815,True,True,8,6,2,0,2,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/discount/tests/test_discounts.py; pytest saleor/webhook/tests/subscription_webhooks/test_create_deliveries_for_taxes.py
saleor-rc-1a8b592913a0,OK,df451b527e115bb24383ba0d5e87ad5f03f959be,1a8b592913a0cadca6d0b171e9afb2f8e4b823f6,True,True,4,2,2,0,2,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/order/tests/mutations/test_draft_order_update.py; pytest saleor/graphql/order/tests/mutations/test_order_update_shipping.py
saleor-rc-1abda1e0d36e,OK,54270055c39318884023254430698563d8f961dd,1abda1e0d36e73402bd7581646b0db5ac647e973,True,True,5,3,2,1,1,0,0,0,STRONG_F2P_CANDIDATE,pytest saleor/graphql/checkout/tests/benchmark/test_checkout_mutations.py; pytest saleor/plugins/webhook/tests/test_list_shipping_methods_for_checkout.py
saleor-rc-1af1c3a368ec,OK,7a1a4bdec3629ad456b926c6b6e84083224c98e3,1af1c3a368ec7488f7460a059f20d8db4bf5bd99,True,True,18,11,7,0,7,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/account/tests/test_account.py; pytest saleor/graphql/product/tests/benchmark/test_product.py; pytest saleor/graphql/product/tests/mutations/test_product_media_delete.py; pytest saleor/graphql/product/tests/queries/test_product_query.py; pytest saleor/graphql/product/tests/test_category.py; pytest saleor/graphql/product/tests/test_collection.py; pytest saleor/plugins/webhook/tests/subscription_webhooks/subscription_queries.py
saleor-rc-1b4da5a88d08,OK,df2ee43e2d384ed5aa60ea2aace7f71308732289,1b4da5a88d08b71a5315749a0352ddd9cc0dad39,True,True,15,8,7,0,7,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/payment/tests/test_payment.py; pytest saleor/payment/gateways/adyen/tests/conftest.py; pytest saleor/payment/gateways/adyen/tests/test_plugin.py; pytest saleor/payment/gateways/adyen/tests/utils/test_common.py; pytest saleor/plugins/tests/sample_plugins.py; pytest saleor/plugins/tests/test_manager.py; pytest saleor/tests/fixtures.py
saleor-rc-1cc263035113,OK,5f6c4e6e9e28ce4dda81c872f39cbf03b02d2384,1cc263035113467f9c837067308353107a25ac02,True,True,3,3,0,0,0,0,0,0,NO_CHANGED_TEST_EVIDENCE,
saleor-rc-1cca40939fac,OK,f8a83b0303aaf208463f2d80f35e2958c20bcd62,1cca40939facb9276aa7087cfc5ddf6a6bde71f4,True,True,4,4,0,0,0,0,0,0,NO_CHANGED_TEST_EVIDENCE,
saleor-rc-1f47b503f69e,OK,a605021fc9065527f2d648f00f327140368f3e9c,1f47b503f69e6c027117b7da53fcdce39ed81751,True,True,4,2,2,0,2,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/payment/gateways/stripe/tests/conftest.py; pytest saleor/payment/gateways/stripe/tests/test_webhooks.py
saleor-rc-1f6fbe2ebf9b,OK,4946aa7d4818ccc6f64bb839f67b263418f77772,1f6fbe2ebf9b7224a09fbdc6d4b00e25ee8ca24b,True,True,3,2,1,0,1,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/payment/gateways/adyen/tests/test_plugin.py
saleor-rc-1f9b5c53a63a,OK,d56d904f996ac92e4a6960f0ec925a29b59d2875,1f9b5c53a63a04fae221cb65832fae3c3a61c236,True,True,5,3,2,0,2,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/webhook/tests/queries/test_webhook.py; pytest saleor/tests/fixtures.py
saleor-rc-1fa6a637c7fc,OK,dbbece976cc7c492aeb27b0fd3101c7d4ff510be,1fa6a637c7fcaf5e1c797339ddae102b43282bc4,True,True,8,5,1,0,1,0,2,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/product/tests/test_product.py
saleor-rc-208833e2fa53,OK,c8dd3f20f6b5e7fd37c72caff011d1be554772b9,208833e2fa53e41a0ef8767961edafe09240a3f5,True,True,4,1,3,0,3,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/payment/tests/test_payment.py; pytest saleor/payment/gateways/dummy/tests/test_dummy.py; pytest saleor/payment/tests/test_payment.py
saleor-rc-224bf29fb39f,OK,ec664a1d32bd68e78eaef551582f3b53c7910b14,224bf29fb39fd14645a5adfda42008ea5fb8d799,True,True,5,4,1,0,1,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/order/tests/mutations/test_order_note_add.py
saleor-rc-22a30bf2e4cc,OK,1dbb64493dd259da6441b3860cd4172dfeaa46ee,22a30bf2e4ccda91e1e43673d77e25d439f61746,True,True,2,1,1,0,1,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/core/tests/garbage_collection/test_saleor_context.py
saleor-rc-24f9b244d6bc,OK,4639d4c30ed2f47e2cb5b63dfb17c412ce91b2ae,24f9b244d6bc8c591c9707380917d9b6c6d35c35,True,True,8,7,1,1,0,0,0,0,STRONG_F2P_CANDIDATE,pytest saleor/graphql/meta/tests/test_meta_filters.py
saleor-rc-255d39da978a,OK,69bc54b62ad59ac331caf1969448fd5ac42d89ab,255d39da978a7ec3f20b8cbc8b54b4c02a94566a,True,True,2,1,1,0,1,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/attribute/tests/mutations/test_attribute_bulk_update.py
saleor-rc-27b65eae2a9a,OK,ecadd9c937a86aac2b4492183cd5c8dd2dab674d,27b65eae2a9af0fbb0d2f85a955f8334a3115bac,True,True,4,2,2,0,2,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/checkout/tests/test_base_calculations.py; pytest saleor/plugins/tests/test_manager.py
saleor-rc-28799575c518,OK,378b4fd95860f1e692a4acdfede37e47066b5be7,28799575c51810307c71fd14cabc6eaa3b8dfe5e,True,True,12,6,6,0,6,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/order/tests/test_order_actions_create_fulfillments_for_returned_products.py; pytest saleor/order/tests/test_order_actions_refund_products.py; pytest saleor/payment/gateways/dummy/tests/test_dummy.py; pytest saleor/payment/gateways/dummy_credit_card/tests/test_dummy_credit_card.py; pytest saleor/payment/tests/test_gateway.py; pytest saleor/product/tests/test_product_availability.py
saleor-rc-29c2d1abdce0,OK,221211b3275f773667b478db36e87b4c430c69ed,29c2d1abdce021bc32ca41b15da5ce10175227ed,True,True,27,10,17,1,16,0,0,0,STRONG_F2P_CANDIDATE,pytest saleor/graphql/checkout/tests/test_checkout_promo_codes.py; pytest saleor/plugins/avatax/tests/conftest.py; pytest saleor/plugins/avatax/tests/test_avatax.py; pytest saleor/plugins/avatax/tests/test_avatax_caching.py; pytest saleor/plugins/tests/sample_plugins.py; pytest saleor/plugins/tests/test_manager.py; pytest saleor/plugins/vatlayer/tests/test_vatlayer.py
saleor-rc-2a59d31fc839,OK,9064bf0ddea89efc529b9ebc2e4ee3f0085b132c,2a59d31fc8398dd13f2a63c1bc23f44791ea3239,True,True,13,4,9,0,9,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/core/tests/test_core.py; pytest saleor/core/tests/test_jwt.py; pytest saleor/graphql/account/tests/mutations/test_token_create.py; pytest saleor/graphql/account/tests/mutations/test_token_refresh.py; pytest saleor/graphql/checkout/tests/mutations/test_checkout_complete.py; pytest saleor/graphql/product/tests/test_product.py; pytest saleor/graphql/product/tests/test_variant.py; pytest saleor/graphql/shipping/tests/test_shipping_zones_query.py; pytest saleor/graphql/shop/tests/test_shop.py
saleor-rc-2a740b36af0a,OK,77eecc7a719b8a4689271635a9f96fdc2dc7a606,2a740b36af0adb42844fcc87c7701e8fb4fc8494,True,True,1,1,0,0,0,0,0,0,NO_CHANGED_TEST_EVIDENCE,
saleor-rc-2c218aadc9b7,OK,8d3b4a500b2664917eb0de3fd7509836a128c233,2c218aadc9b757835ec7c85832c67468e7ee818d,True,True,10,7,2,0,2,0,1,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/order/tests/test_order.py; pytest saleor/order/tests/test_order_actions.py
saleor-rc-2c44b8eccc2c,OK,e22490efe5abb05a42451d80b476ef06cd20fa35,2c44b8eccc2ce985dade55a4e1efd0e113bd92a0,True,True,8,5,3,0,3,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/giftcard/tests/test_utils.py; pytest saleor/graphql/checkout/tests/mutations/test_checkout_add_promo_code.py; pytest saleor/graphql/giftcard/tests/queries/test_gift_card.py
saleor-rc-2c770c685a57,OK,c31fb4cfd08f5578c90b9109f98f662b119e208a,2c770c685a57466c11d3cc9a0e9e12ed10243408,True,True,11,5,6,0,6,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/checkout/tests/test_calculations.py; pytest saleor/graphql/account/tests/queries/test_me.py; pytest saleor/graphql/checkout/tests/test_checkout.py; pytest saleor/graphql/checkout/tests/test_checkout_line_problems.py; pytest saleor/tax/tests/test_checkout_calculations.py; pytest saleor/webhook/transport/asynchronous/tests/test_deferred_payload.py
saleor-rc-2d1599f1f8e2,OK,d1b652115b9f21242c1b8766985d5992e3c95c28,2d1599f1f8e286ea4cc1f50ee9d4f8013b09f2de,True,True,1,1,0,0,0,0,0,0,NO_CHANGED_TEST_EVIDENCE,
saleor-rc-305415e0f8b7,OK,3e5030244ab8b38d925bd532763dcc5a369228cb,305415e0f8b76b0460949f76f1793db8f3faa722,True,True,13,10,2,0,2,0,1,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/order/tests/test_fulfillment.py; pytest saleor/order/tests/test_order_actions.py
saleor-rc-308413ed9c19,OK,f2cc5703766110786b0d774c170b4ce8b1203cb1,308413ed9c19e7938e690fe3cf339b526fd34df2,True,True,1,1,0,0,0,0,0,0,NO_CHANGED_TEST_EVIDENCE,
saleor-rc-30b4edece5aa,OK,b40f4635e155ecfe07bd914dad53f1cd304c4c5d,30b4edece5aa284f5a1e344e70350a680e43d9cd,True,True,5,1,4,0,4,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/csv/tests/queries/test_export_file.py; pytest saleor/graphql/discount/tests/queries/test_promotion.py; pytest saleor/graphql/giftcard/tests/queries/test_gift_card.py; pytest saleor/graphql/meta/tests/mutations/test_account.py
saleor-rc-30cb9d338235,OK,692be3196ab48b78b9580a90a7682a90cb1d5fb4,30cb9d3382353550502f375145df4fe841bfc9db,True,True,2,2,0,0,0,0,0,0,NO_CHANGED_TEST_EVIDENCE,
saleor-rc-30fe250747ae,OK,64ce4f4ff63c4a0be206c160a12a47c7d26dc439,30fe250747ae7f41cbdc6a1d562385515b7ff88c,True,True,4,3,1,0,1,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/attribute/tests/queries/test_attribute_query.py
saleor-rc-32f73ff32b2b,OK,169b46ffc6e9fa9a0a79a9e66b2135429979b6c0,32f73ff32b2bc098187ade52d1749e2c2f52b707,True,True,5,3,2,0,2,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/order/tests/test_order.py; pytest saleor/tests/fixtures.py
saleor-rc-33010c0d5f7f,OK,b39d10d60bcc6c357e0c3a23c9e4bbc3c6716d63,33010c0d5f7fbe40fe588f804b807cbc4300826f,True,True,3,2,1,0,1,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/plugins/webhook/tests/subscription_webhooks/test_webhook.py
saleor-rc-333febd35223,OK,fd463c8aae38b120f3d984fa881c1c7c61817591,333febd3522379220788fabac4c716f426ccd76d,True,True,5,1,3,0,3,0,1,0,MODIFIED_TEST_CANDIDATE,pytest saleor/checkout/tests/fixtures/checkout.py; pytest saleor/checkout/tests/test_delivery_context.py; pytest saleor/graphql/checkout/tests/test_checkouts_query.py
saleor-rc-349d88efcfec,OK,adc6f7eced1307a12a0fd970bd962c8765786ec3,349d88efcfec17730095838fd523d05174686e3b,True,True,5,3,2,0,2,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/checkout/tests/test_checkout_complete.py; pytest saleor/graphql/checkout/tests/mutations/test_checkout_complete.py
saleor-rc-349fe0c194a1,OK,d64d8a4562212b239914950e840cc17b9ab640a6,349fe0c194a17875b84f276b44a3524d218edb20,True,True,14,9,5,0,5,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/account/tests/mutations/account/test_account_delete.py; pytest saleor/graphql/account/tests/mutations/account/test_confirm_email_change.py; pytest saleor/plugins/webhook/tests/subscription_webhooks/fixtures.py; pytest saleor/plugins/webhook/tests/subscription_webhooks/subscription_queries.py; pytest saleor/plugins/webhook/tests/subscription_webhooks/test_create_deliveries_for_subscription.py
saleor-rc-3513064157fa,OK,9e060876f2dd02cb1f2685ea14ad89b6099bfdc7,3513064157fad67cfc2a0d046a0c329b405cac06,True,True,3,2,1,0,1,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/graphql/checkout/tests/mutations/test_checkout_customer_attach.py
saleor-rc-367b8038f6b9,OK,b5c97d381e92db0b5a9927cc66a54084945cf87e,367b8038f6b9d260ef862d78c345f4ac98a321e1,True,True,4,2,2,0,2,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/csv/tests/test_tasks.py; pytest saleor/graphql/csv/tests/queries/test_export_files.py
saleor-rc-36a9a14e8d12,OK,0e6aa7fdc976539a7b72bf142ab5594f182c8ae2,36a9a14e8d12aad4479ff86e53ac73febd68d782,True,True,3,2,1,0,1,0,0,0,MODIFIED_TEST_CANDIDATE,pytest saleor/plugins/admin_email/tests/test_plugin.py
