case_id,item_index,observed_changed_file,top_ranked_omitted,matched_random_omitted,rater_category,confidence,notes
djangocms-rc-4e69677c94cd,2,cms/appresolver.py,cms/utils/i18n.py,cms/utils/request_ip_resolvers.py,2_related_optional,0.9,
djangocms-rc-4e69677c94cd,3,cms/cms_menus.py,cms/templatetags/cms_tags.py,cms/management/commands/subcommands/delete_orphaned_plugins.py,3_incidental_tangled,0.9,
djangocms-rc-4e69677c94cd,4,cms/views.py,cms/utils/moderator.py,cms/utils/permissions.py,4_not_determinable,0.9,
djangocms-rc-5cc4ba2f53d3,0,cms/cms_wizards.py,cms/__init__.py,cms/admin/__init__.py,1_required,0.9,
djangocms-rc-5cc4ba2f53d3,1,cms/forms/wizards.py,cms/admin/__init__.py,cms/views.py,2_related_optional,0.9,
djangocms-rc-5cc4ba2f53d3,2,cms/utils/permissions.py,cms/admin/change_list.py,cms/admin/permissionadmin.py,3_incidental_tangled,0.9,
djangocms-rc-5cc4ba2f53d3,3,,cms/admin/dialog/__init__.py,cms/south_migrations/0030_limit_visibility_in_menu_step3of3.py,4_not_determinable,0.9,
djangocms-rc-5cc4ba2f53d3,4,,cms/admin/dialog/forms.py,cms/admin/useradmin.py,1_required,0.9,
djangocms-rc-97c50fee715d,0,cms/middleware/toolbar.py,cms/__init__.py,cms/utils/helpers.py,2_related_optional,0.9,
djangocms-rc-97c50fee715d,1,cms/utils/conf.py,cms/admin/__init__.py,cms/admin/useradmin.py,3_incidental_tangled,0.9,
djangocms-rc-97c50fee715d,2,,cms/admin/change_list.py,menus/menu_pool.py,4_not_determinable,0.9,
djangocms-rc-97c50fee715d,3,,cms/admin/dialog/__init__.py,cms/extensions/toolbar.py,1_required,0.9,
djangocms-rc-97c50fee715d,4,,cms/admin/dialog/forms.py,cms/utils/decorators.py,2_related_optional,0.9,
djangocms-rc-b740724656f0,0,cms/admin/forms.py,cms/__init__.py,cms/cache/choices.py,3_incidental_tangled,0.9,
djangocms-rc-b740724656f0,1,cms/forms/widgets.py,cms/admin/__init__.py,cms/api.py,4_not_determinable,0.9,
djangocms-rc-b740724656f0,2,cms/templatetags/cms_tags.py,cms/admin/change_list.py,cms/extensions/models.py,1_required,0.9,
djangocms-rc-b740724656f0,3,cms/templatetags/cms_wizard_tags.py,cms/admin/forms.py,menus/models.py,2_related_optional,0.9,
djangocms-rc-b740724656f0,4,cms/utils/compat/__init__.py,cms/admin/pageadmin.py,cms/models/settingmodels.py,3_incidental_tangled,0.9,
djangocms-rc-b740724656f0,5,cms/wizards/forms.py,,,4_not_determinable,0.9,
djangocms-rc-b740724656f0,6,cms/wizards/wizard_base.py,,,1_required,0.9,
djangocms-rc-1e2ff09e1134,0,cms/admin/placeholderadmin.py,cms/admin/pageadmin.py,cms/management/commands/subcommands/delete_orphaned_plugins.py,2_related_optional,0.9,
djangocms-rc-1e2ff09e1134,1,cms/models/pluginmodel.py,cms/utils/mail.py,cms/utils/__init__.py,3_incidental_tangled,0.9,
djangocms-rc-1e2ff09e1134,2,cms/plugin_base.py,cms/models/apphooks_reload.py,cms/forms/utils.py,4_not_determinable,0.9,
djangocms-rc-1e2ff09e1134,3,cms/utils/conf.py,cms/utils/conf.py,cms/__main__.py,1_required,0.9,
djangocms-rc-1e2ff09e1134,4,,cms/models/contentmodels.py,cms/cache/choices.py,2_related_optional,0.9,
djangocms-rc-829f7e224887,0,cms/cms_menus.py,cms/cache/permissions.py,cms/management/commands/subcommands/check.py,3_incidental_tangled,0.9,
djangocms-rc-829f7e224887,1,menus/menu_pool.py,cms/cache/page.py,menus/modifiers.py,4_not_determinable,0.9,
djangocms-rc-829f7e224887,2,menus/models.py,menus/models.py,cms/forms/utils.py,1_required,0.9,
djangocms-rc-829f7e224887,3,,cms/menu_bases.py,cms/utils/django_load.py,2_related_optional,0.9,
djangocms-rc-829f7e224887,4,,cms/signals/permissions.py,cms/toolbar_base.py,3_incidental_tangled,0.9,
djangocms-rc-61a5a1018e48,0,cms/page_rendering.py,cms/plugin_processors.py,cms/south_migrations/0007_apphook_longer.py,4_not_determinable,0.9,
djangocms-rc-61a5a1018e48,1,cms/plugin_rendering.py,cms/plugin_rendering.py,cms/models/pagemodel.py,1_required,0.9,
djangocms-rc-61a5a1018e48,2,,cms/utils/placeholder.py,cms/models/permissionmodels.py,2_related_optional,0.9,
djangocms-rc-61a5a1018e48,3,,cms/__init__.py,cms/extensions/extension_pool.py,3_incidental_tangled,0.9,
djangocms-rc-61a5a1018e48,4,,cms/admin/pageadmin.py,cms/south_migrations/0054_new_publisher_data.py,4_not_determinable,0.9,
djangocms-rc-54edd397e874,0,cms/app_base.py,cms/__init__.py,cms/toolbar/toolbar.py,1_required,0.9,
djangocms-rc-54edd397e874,1,cms/menu_bases.py,cms/admin/__init__.py,cms/models/aliaspluginmodel.py,2_related_optional,0.9,
djangocms-rc-54edd397e874,2,,cms/admin/change_list.py,cms/models/query.py,3_incidental_tangled,0.9,
djangocms-rc-54edd397e874,3,,cms/admin/dialog/__init__.py,cms/utils/compat/forms.py,4_not_determinable,0.9,
djangocms-rc-54edd397e874,4,,cms/admin/dialog/forms.py,cms/utils/decorators.py,1_required,0.9,
djangocms-rc-2403d4ea162b,0,cms/models/permissionmodels.py,cms/signals/permissions.py,cms/extensions/extension_pool.py,2_related_optional,0.9,
djangocms-rc-2403d4ea162b,1,,cms/admin/useradmin.py,cms/templatetags/cms_static.py,3_incidental_tangled,0.9,
djangocms-rc-2403d4ea162b,2,,cms/utils/permissions.py,cms/__init__.py,4_not_determinable,0.9,
djangocms-rc-2403d4ea162b,3,,cms/utils/page_permissions.py,cms/cache/placeholder.py,1_required,0.9,
djangocms-rc-2403d4ea162b,4,,cms/admin/forms.py,cms/cms_toolbars.py,2_related_optional,0.9,
djangocms-rc-c9c4665b858e,0,cms/plugin_base.py,cms/utils/plugins.py,cms/forms/fields.py,3_incidental_tangled,0.9,
djangocms-rc-c9c4665b858e,1,cms/plugin_rendering.py,cms/cms_plugins.py,cms/wizards/views.py,4_not_determinable,0.9,
djangocms-rc-c9c4665b858e,2,cms/templatetags/cms_js_tags.py,menus/exceptions.py,cms/forms/wizards.py,1_required,0.9,
djangocms-rc-c9c4665b858e,3,,cms/utils/copy_plugins.py,cms/signals/plugins.py,2_related_optional,0.9,
djangocms-rc-c9c4665b858e,4,,cms/management/commands/subcommands/list.py,cms/__init__.py,3_incidental_tangled,0.9,
djangocms-rc-53e4e887073b,0,cms/admin/forms.py,cms/cache/__init__.py,cms/models/metaclasses.py,4_not_determinable,0.9,
djangocms-rc-53e4e887073b,1,cms/admin/pageadmin.py,cms/cache/placeholder.py,cms/admin/forms.py,1_required,0.9,
djangocms-rc-53e4e887073b,2,cms/cache/__init__.py,cms/cache/permissions.py,cms/page_rendering.py,2_related_optional,0.9,
djangocms-rc-53e4e887073b,3,cms/management/commands/subcommands/copy.py,cms/cache/choices.py,cms/utils/compat/forms.py,3_incidental_tangled,0.9,
djangocms-rc-53e4e887073b,4,cms/models/pagemodel.py,cms/models/query.py,cms/management/commands/subcommands/delete_orphaned_plugins.py,4_not_determinable,0.9,
djangocms-rc-53e4e887073b,5,cms/utils/conf.py,,,1_required,0.9,
djangocms-rc-53e4e887073b,6,menus/menu_pool.py,,,2_related_optional,0.9,
djangocms-rc-d648239f0c74,0,cms/cms_plugins.py,cms/cms_plugins.py,cms/signals/page.py,3_incidental_tangled,0.9,
djangocms-rc-d648239f0c74,1,cms/models/aliaspluginmodel.py,cms/exceptions.py,cms/toolbar/toolbar.py,4_not_determinable,0.9,
djangocms-rc-d648239f0c74,2,,cms/plugin_base.py,cms/admin/dialog/__init__.py,1_required,0.9,
djangocms-rc-d648239f0c74,3,,cms/plugin_pool.py,menus/templatetags/__init__.py,2_related_optional,0.9,
djangocms-rc-d648239f0c74,4,,cms/plugin_processors.py,cms/urls.py,3_incidental_tangled,0.9,
djangocms-rc-0fd4ea3e4e6a,0,cms/models/pagemodel.py,cms/utils/permissions.py,cms/management/commands/subcommands/copy_lang.py,4_not_determinable,0.9,
djangocms-rc-0fd4ea3e4e6a,1,cms/templatetags/cms_tags.py,cms/utils/i18n.py,cms/south_migrations/0019_public_table_renames.py,1_required,0.9,
djangocms-rc-0fd4ea3e4e6a,2,,cms/utils/conf.py,cms/utils/compat/tests.py,2_related_optional,0.9,
djangocms-rc-0fd4ea3e4e6a,3,,cms/utils/page_resolver.py,cms/south_migrations/0022_login_required_added.py,3_incidental_tangled,0.9,
djangocms-rc-0fd4ea3e4e6a,4,,cms/utils/__init__.py,cms/management/commands/subcommands/base.py,4_not_determinable,0.9,
djangocms-rc-3a358b840d10,0,cms/admin/placeholderadmin.py,cms/models/pluginmodel.py,cms/south_migrations/0040_auto__del_field_title_meta_keywords__chg_field_title_meta_description.py,1_required,0.9,
djangocms-rc-3a358b840d10,1,cms/extensions/models.py,cms/utils/check.py,cms/utils/placeholder.py,2_related_optional,0.9,
djangocms-rc-3a358b840d10,2,cms/models/pluginmodel.py,cms/api.py,cms/management/commands/cms.py,3_incidental_tangled,0.9,
djangocms-rc-3a358b840d10,3,cms/utils/check.py,cms/__init__.py,cms/cache/placeholder.py,4_not_determinable,0.9,
djangocms-rc-3a358b840d10,4,,cms/admin/forms.py,cms/utils/compat/tests.py,1_required,0.9,
djangocms-rc-8630db8aa177,0,cms/admin/pageadmin.py,cms/cache/page.py,cms/management/commands/subcommands/uninstall.py,2_related_optional,0.9,
djangocms-rc-8630db8aa177,1,cms/cms_menus.py,cms/admin/forms.py,cms/middleware/__init__.py,3_incidental_tangled,0.9,
djangocms-rc-8630db8aa177,2,cms/menu_bases.py,cms/admin/useradmin.py,cms/utils/urlutils.py,4_not_determinable,0.9,
djangocms-rc-8630db8aa177,3,cms/models/managers.py,cms/cache/__init__.py,cms/forms/login.py,1_required,0.9,
djangocms-rc-8630db8aa177,4,cms/models/permissionmodels.py,cms/utils/compat/warnings.py,cms/utils/page.py,2_related_optional,0.9,
djangocms-rc-8630db8aa177,5,cms/utils/mail.py,,,3_incidental_tangled,0.9,
djangocms-rc-8630db8aa177,6,cms/utils/page_permissions.py,,,4_not_determinable,0.9,
djangocms-rc-8630db8aa177,7,cms/utils/permissions.py,,,1_required,0.9,
djangocms-rc-3f68b1da08b1,0,cms/forms/wizards.py,cms/cache/__init__.py,cms/south_migrations/0032_auto__del_field_cmsplugin_publisher_public__del_field_cmsplugin_publis.py,2_related_optional,0.9,
djangocms-rc-3f68b1da08b1,1,cms/templatetags/cms_admin.py,cms/cache/permissions.py,cms/signals/placeholder.py,3_incidental_tangled,0.9,
djangocms-rc-3f68b1da08b1,2,cms/wizards/forms.py,cms/models/query.py,cms/utils/permissions.py,4_not_determinable,0.9,
djangocms-rc-3f68b1da08b1,3,,cms/publisher/query.py,cms/south_migrations/0072_auto__del_field_cmsplugin_rght__del_field_cmsplugin_level__del_field_c.py,1_required,0.9,
djangocms-rc-3f68b1da08b1,4,,cms/models/static_placeholder.py,cms/wizards/views.py,2_related_optional,0.9,
djangocms-rc-475120cf18ce,0,cms/admin/__init__.py,cms/__init__.py,cms/toolbar_base.py,3_incidental_tangled,0.9,
djangocms-rc-475120cf18ce,1,,cms/admin/change_list.py,cms/management/commands/subcommands/mptt.py,4_not_determinable,0.9,
djangocms-rc-475120cf18ce,2,,cms/admin/forms.py,cms/models/managers.py,1_required,0.9,
djangocms-rc-475120cf18ce,3,,cms/admin/pageadmin.py,cms/models/static_placeholder.py,2_related_optional,0.9,
djangocms-rc-475120cf18ce,4,,cms/admin/permissionadmin.py,cms/utils/page.py,3_incidental_tangled,0.9,
djangocms-rc-b4ca4580aaa7,0,cms/apphook_pool.py,cms/templatetags/cms_js_tags.py,cms/models/titlemodels.py,4_not_determinable,0.9,
djangocms-rc-b4ca4580aaa7,1,cms/models/pluginmodel.py,cms/models/pluginmodel.py,cms/wizards/views.py,1_required,0.9,
djangocms-rc-b4ca4580aaa7,2,cms/plugin_base.py,cms/models/aliaspluginmodel.py,cms/extensions/__init__.py,2_related_optional,0.9,
djangocms-rc-b4ca4580aaa7,3,cms/plugin_pool.py,cms/templatetags/cms_wizard_tags.py,cms/templatetags/cms_admin.py,3_incidental_tangled,0.9,
djangocms-rc-b4ca4580aaa7,4,cms/plugin_processors.py,cms/utils/moderator.py,cms/wizards/wizard_pool.py,4_not_determinable,0.9,
djangocms-rc-b4ca4580aaa7,5,cms/templatetags/cms_tags.py,,,1_required,0.9,
djangocms-rc-b4ca4580aaa7,6,cms/toolbar_pool.py,,,2_related_optional,0.9,
djangocms-rc-b4ca4580aaa7,7,cms/utils/check.py,,,3_incidental_tangled,0.9,
djangocms-rc-b4ca4580aaa7,8,cms/utils/conf.py,,,4_not_determinable,0.9,
djangocms-rc-1f78303c1e5c,0,cms/extensions/models.py,cms/utils/page_permissions.py,cms/templates.py,1_required,0.9,
djangocms-rc-1f78303c1e5c,1,cms/models/aliaspluginmodel.py,cms/signals/placeholder.py,cms/signals/apphook.py,2_related_optional,0.9,
djangocms-rc-1f78303c1e5c,2,cms/models/fields.py,cms/signals/plugins.py,cms/utils/compat/forms.py,3_incidental_tangled,0.9,
djangocms-rc-1f78303c1e5c,3,cms/models/pagemodel.py,cms/signals/permissions.py,cms/management/commands/cms.py,4_not_determinable,0.9,
djangocms-rc-1f78303c1e5c,4,cms/models/permissionmodels.py,cms/forms/fields.py,cms/utils/urlutils.py,1_required,0.9,
djangocms-rc-1f78303c1e5c,5,cms/models/placeholderpluginmodel.py,,,2_related_optional,0.9,
djangocms-rc-1f78303c1e5c,6,cms/models/pluginmodel.py,,,3_incidental_tangled,0.9,
djangocms-rc-1f78303c1e5c,7,cms/models/settingmodels.py,,,4_not_determinable,0.9,
djangocms-rc-1f78303c1e5c,8,cms/models/static_placeholder.py,,,1_required,0.9,
djangocms-rc-1f78303c1e5c,9,cms/models/titlemodels.py,,,2_related_optional,0.9,
djangocms-rc-98e211c879c6,0,cms/cache/page.py,cms/__init__.py,cms/middleware/utils.py,3_incidental_tangled,0.9,
djangocms-rc-98e211c879c6,1,cms/cache/placeholder.py,cms/admin/__init__.py,cms/cms_plugins.py,4_not_determinable,0.9,
djangocms-rc-98e211c879c6,2,cms/models/pagemodel.py,cms/admin/change_list.py,cms/cms_wizards.py,1_required,0.9,
djangocms-rc-98e211c879c6,3,cms/models/placeholdermodel.py,cms/admin/dialog/__init__.py,cms/toolbar/__init__.py,2_related_optional,0.9,
djangocms-rc-98e211c879c6,4,cms/plugin_base.py,cms/admin/dialog/forms.py,cms/utils/helpers.py,3_incidental_tangled,0.9,
djangocms-rc-98e211c879c6,5,cms/plugin_rendering.py,,,4_not_determinable,0.9,
djangocms-rc-98e211c879c6,6,cms/templatetags/cms_tags.py,,,1_required,0.9,
djangocms-rc-98e211c879c6,7,cms/utils/helpers.py,,,2_related_optional,0.9,
