case_id,item_index,observed_changed_file,top_ranked_omitted,matched_random_omitted,rater_category,confidence,notes,rater_a,rater_b,adjudicated
djangocms-rc-d648239f0c74,2,,cms/plugin_base.py,cms/admin/dialog/__init__.py,,,,,,
djangocms-rc-d648239f0c74,3,,cms/plugin_pool.py,menus/templatetags/__init__.py,,,,,,
djangocms-rc-d648239f0c74,4,,cms/plugin_processors.py,cms/urls.py,,,,,,
djangocms-rc-0fd4ea3e4e6a,0,cms/models/pagemodel.py,cms/utils/permissions.py,cms/management/commands/subcommands/copy_lang.py,,,,,,
djangocms-rc-0fd4ea3e4e6a,1,cms/templatetags/cms_tags.py,cms/utils/i18n.py,cms/south_migrations/0019_public_table_renames.py,,,,,,
djangocms-rc-0fd4ea3e4e6a,2,,cms/utils/conf.py,cms/utils/compat/tests.py,,,,,,
djangocms-rc-0fd4ea3e4e6a,3,,cms/utils/page_resolver.py,cms/south_migrations/0022_login_required_added.py,,,,,,
djangocms-rc-0fd4ea3e4e6a,4,,cms/utils/__init__.py,cms/management/commands/subcommands/base.py,,,,,,
djangocms-rc-3a358b840d10,0,cms/admin/placeholderadmin.py,cms/models/pluginmodel.py,cms/south_migrations/0040_auto__del_field_title_meta_keywords__chg_field_title_meta_description.py,,,,,,
djangocms-rc-3a358b840d10,1,cms/extensions/models.py,cms/utils/check.py,cms/utils/placeholder.py,,,,,,
djangocms-rc-3a358b840d10,2,cms/models/pluginmodel.py,cms/api.py,cms/management/commands/cms.py,,,,,,
djangocms-rc-3a358b840d10,3,cms/utils/check.py,cms/__init__.py,cms/cache/placeholder.py,,,,,,
djangocms-rc-3a358b840d10,4,,cms/admin/forms.py,cms/utils/compat/tests.py,,,,,,
djangocms-rc-8630db8aa177,0,cms/admin/pageadmin.py,cms/cache/page.py,cms/management/commands/subcommands/uninstall.py,,,,,,
djangocms-rc-8630db8aa177,1,cms/cms_menus.py,cms/admin/forms.py,cms/middleware/__init__.py,,,,,,
djangocms-rc-8630db8aa177,2,cms/menu_bases.py,cms/admin/useradmin.py,cms/utils/urlutils.py,,,,,,
djangocms-rc-8630db8aa177,3,cms/models/managers.py,cms/cache/__init__.py,cms/forms/login.py,,,,,,
djangocms-rc-8630db8aa177,4,cms/models/permissionmodels.py,cms/utils/compat/warnings.py,cms/utils/page.py,,,,,,
djangocms-rc-8630db8aa177,5,cms/utils/mail.py,,,,,,,,
djangocms-rc-8630db8aa177,6,cms/utils/page_permissions.py,,,,,,,,
djangocms-rc-8630db8aa177,7,cms/utils/permissions.py,,,,,,,,
djangocms-rc-3f68b1da08b1,0,cms/forms/wizards.py,cms/cache/__init__.py,cms/south_migrations/0032_auto__del_field_cmsplugin_publisher_public__del_field_cmsplugin_publis.py,,,,,,
djangocms-rc-3f68b1da08b1,1,cms/templatetags/cms_admin.py,cms/cache/permissions.py,cms/signals/placeholder.py,,,,,,
djangocms-rc-3f68b1da08b1,2,cms/wizards/forms.py,cms/models/query.py,cms/utils/permissions.py,,,,,,
djangocms-rc-3f68b1da08b1,3,,cms/publisher/query.py,cms/south_migrations/0072_auto__del_field_cmsplugin_rght__del_field_cmsplugin_level__del_field_c.py,,,,,,
djangocms-rc-3f68b1da08b1,4,,cms/models/static_placeholder.py,cms/wizards/views.py,,,,,,
djangocms-rc-475120cf18ce,0,cms/admin/__init__.py,cms/__init__.py,cms/toolbar_base.py,,,,,,
djangocms-rc-475120cf18ce,1,,cms/admin/change_list.py,cms/management/commands/subcommands/mptt.py,,,,,,
djangocms-rc-475120cf18ce,2,,cms/admin/forms.py,cms/models/managers.py,,,,,,
djangocms-rc-475120cf18ce,3,,cms/admin/pageadmin.py,cms/models/static_placeholder.py,,,,,,
djangocms-rc-475120cf18ce,4,,cms/admin/permissionadmin.py,cms/utils/page.py,,,,,,
djangocms-rc-b4ca4580aaa7,0,cms/apphook_pool.py,cms/templatetags/cms_js_tags.py,cms/models/titlemodels.py,,,,,,
djangocms-rc-b4ca4580aaa7,1,cms/models/pluginmodel.py,cms/models/pluginmodel.py,cms/wizards/views.py,,,,,,
djangocms-rc-b4ca4580aaa7,2,cms/plugin_base.py,cms/models/aliaspluginmodel.py,cms/extensions/__init__.py,,,,,,
djangocms-rc-b4ca4580aaa7,3,cms/plugin_pool.py,cms/templatetags/cms_wizard_tags.py,cms/templatetags/cms_admin.py,,,,,,
djangocms-rc-b4ca4580aaa7,4,cms/plugin_processors.py,cms/utils/moderator.py,cms/wizards/wizard_pool.py,,,,,,
djangocms-rc-b4ca4580aaa7,5,cms/templatetags/cms_tags.py,,,,,,,,
djangocms-rc-b4ca4580aaa7,6,cms/toolbar_pool.py,,,,,,,,
djangocms-rc-b4ca4580aaa7,7,cms/utils/check.py,,,,,,,,
djangocms-rc-b4ca4580aaa7,8,cms/utils/conf.py,,,,,,,,
djangocms-rc-1f78303c1e5c,0,cms/extensions/models.py,cms/utils/page_permissions.py,cms/templates.py,,,,,,
djangocms-rc-1f78303c1e5c,1,cms/models/aliaspluginmodel.py,cms/signals/placeholder.py,cms/signals/apphook.py,,,,,,
djangocms-rc-1f78303c1e5c,2,cms/models/fields.py,cms/signals/plugins.py,cms/utils/compat/forms.py,,,,,,
djangocms-rc-1f78303c1e5c,3,cms/models/pagemodel.py,cms/signals/permissions.py,cms/management/commands/cms.py,,,,,,
djangocms-rc-1f78303c1e5c,4,cms/models/permissionmodels.py,cms/forms/fields.py,cms/utils/urlutils.py,,,,,,
djangocms-rc-1f78303c1e5c,5,cms/models/placeholderpluginmodel.py,,,,,,,,
djangocms-rc-1f78303c1e5c,6,cms/models/pluginmodel.py,,,,,,,,
djangocms-rc-1f78303c1e5c,7,cms/models/settingmodels.py,,,,,,,,
djangocms-rc-1f78303c1e5c,8,cms/models/static_placeholder.py,,,,,,,,
djangocms-rc-1f78303c1e5c,9,cms/models/titlemodels.py,,,,,,,,
djangocms-rc-98e211c879c6,0,cms/cache/page.py,cms/__init__.py,cms/middleware/utils.py,,,,,,
djangocms-rc-98e211c879c6,1,cms/cache/placeholder.py,cms/admin/__init__.py,cms/cms_plugins.py,,,,,,
djangocms-rc-98e211c879c6,2,cms/models/pagemodel.py,cms/admin/change_list.py,cms/cms_wizards.py,,,,,,
djangocms-rc-98e211c879c6,3,cms/models/placeholdermodel.py,cms/admin/dialog/__init__.py,cms/toolbar/__init__.py,,,,,,
djangocms-rc-98e211c879c6,4,cms/plugin_base.py,cms/admin/dialog/forms.py,cms/utils/helpers.py,,,,,,
djangocms-rc-98e211c879c6,5,cms/plugin_rendering.py,,,,,,,,
djangocms-rc-98e211c879c6,6,cms/templatetags/cms_tags.py,,,,,,,,
djangocms-rc-98e211c879c6,7,cms/utils/helpers.py,,,,,,,,
